,labels,sentences
16738,guilt,I follow execute in front man of a crowd when I slipped and fell on a wet lawn .
16739,guilt,Was running I in of front a crowd I when slipped and fell a on wet lawn .
16740,joy,"As the time to start the results drew near I became to a greater extent and to a greater extent uneasy . My friend name me and said , "" You cause passed . "" My eye was entire of joyousness ."
16741,joy,"As the time get to results the drew near became more I anxious and more . My friend me and called said , "" have You passed . "" My was heart full of joy ."
16742,fear,I watched a very terrfying film in LT2 . This film very push my heart out of my body and I be force to hold out come out of the closet before the second virginia reel cease .
16743,fear,I watched a very terrfying in film LT2 . film This really pushed my heart out my of and body I forced was to go out the before second ended reel .
16744,anger,""" I have been hearing rumours that you have not live allowing people in your room , "" he say . This sentence truly shot my heart . I go bad to incur the right words , instead One walked away without uttering a good book ."
16745,anger,""" I have been rumours that hearing you have not been people allowing in room your , "" said he . This sentence really shot heart my . I failed to the find right words , instead I walked without away uttering a word ."
16746,sadness,"Unmatched Saturday aurora I take got ready to go out swim with my friends . Alas the weather dress not permit it , so we stayed indoors ."
16747,sadness,"One Saturday I morning got had ready to go out swimming with my friends . Unfortunately the did weather not permit it , stayed so we . indoors"
16748,disgust,"1 day I locomote to town to gravel my grocery . On my way back , I bring a mini bus which be full of drunk students . I felt very sicken ."
16749,disgust,"One day I went to town get my to grocery . On my way back I , took a mini bus which was full of drunk students . felt I very . disgusted"
16750,shame,"I had gone to aa bookstore to buy some rule book . Somehow , I catch very cross with the security guard duty fit through what I take bought . I lost my snappishness and screamed at him . Later I felt very ashamed at myself as a lot of people One know were there ."
16751,shame,"I had gone to bookshop aa to buy books some . Somehow , I got cross very with security guard the checking through what I had bought . lost I my temper screamed and at him . Later I felt very ashamed myself as at a of lot people I know were there ."
16752,guilt,"I remember deceiving my chum , 1 recite him that I was going to attend the Sunday table service , instead I went out to the town with a friend ."
16753,guilt,"Remember I my deceiving brother , I him told I that was going to the attend service Sunday , I instead went out to town the with friend a ."
16754,joy,"When Unity try that a close relative of mine have given birth at a very new age , in a really remote area and make had very few problems ."
16755,joy,"When heard I that a close relative mine of had given birth at a young age very , in very a remote area and had had very few problems ."
16756,fear,"When Ane heard that a close relative of mine had give birthing at a real untried old age , in a really remote area and had have very few problems ."
16757,fear,"I when that heard a relative close mine of had given birth at a very young age in , a very remote area and had very few had problems ."
16758,anger,"When Atomic number 53 heard that a penny pinching congeneric of mine had give birth at a real young age , in a very remote orbit and had had very few problems ."
16759,anger,"When I heard a that relative close of mine given birth at had a very young age , in a very area and remote had very had few problems ."
16760,sadness,When I realized that I do non have the basic things needed by a scholar like pine tree state .
16761,sadness,When I that realized I not did have the things basic needed by a student . like me
16762,disgust,"When some hoi polloi , include maine , are treated in a elbow room which equates them to an animal or a thing ."
16763,disgust,"When people some , including me are , treated in a which them way equates to an animal or a . thing"
16764,shame,"When some people , include maine , are treated in a style which equates them to an fauna or a affair ."
16765,shame,"When people some , including me are , treated in way a equates which them to an animal or a thing ."
16766,guilt,When Ane did something wrong in the past and denied having done information technology when ask astir it later .
16767,guilt,I when did something wrong the in past and denied having done it when asked about later it .
16768,joy,"My girlfriend wrote to me evidence maine that she be four month meaning and that I was responsible for the "" damages "" . This made me happy as I longed to have a child to promise mine ."
16769,joy,"My girlfriend to wrote me telling me that she months was four pregnant and that was I responsible for "" the "" damages . This made me as happy I to longed have a to child mine call ."
16770,fear,"The shot start up and we all position knock down to protect ourselves from the flying bullets . This incident occured on our way to Feira , during the Zambia usa patrol in the Rhodesia war ."
16771,fear,"The shooting and started we all lay to protect down ourselves from flying the . This bullets incident occured on our to way Feira , during Zambia the army patrols the in Rhodesia . war"
16772,anger,"I go to the dining marguerite radclyffe hall and recover that the cooks were cleaning the collection plate and there was no food for thought for me , and the blue bird ( security guards ) exist busy eating the food that be supposed to be for me ."
16773,anger,"I went to the hall found dining and that the were cooks cleaning plates the and there was food no for me and , the blue ( birds security guards ) were busy the eating food that was supposed to for be me ."
16774,sadness,"That afternoon I received two messages informing me , one that my chum was in a coma in the U . T . Enthalpy suffering ( kidney disease ) and two , that my uncle met with an accident on his way to the hospital to see my blood brother ."
16775,sadness,"Afternoon that I received two messages informing me , one that my in brother was a coma in the U . T . suffering H ( kidney disease ) and two , that uncle my with met an accident way on to his hospital the to see my brother ."
16776,disgust,This happened when I went to natter my champion in Chelston and found him screwing my girlfriend .
16777,disgust,Happened this when I went to visit my friend Chelston in found and him screwing my girlfriend .
16778,shame,When One walked out of my room with only my pants on and found my girlfriend and her female protagonist looking for me outside .
16779,shame,I walked when of my room out only with my pants on and found my girlfriend and her female looking friend for me outside .
16780,guilt,My father get pine tree state birth sexual intercourse with my closest first cousin . In that location was nothing wrong with it simply the female was as well old for me .
16781,guilt,My father me caught having with sexual intercourse my closest cousin . was nothing There with wrong it the but female too was old for me .
16782,joy,"When a girl I wanted rattling much , said "" yes "" and fell in love with me ."
16783,joy,"A when I wanted girl very much , said "" yes "" fell and love in with me ."
16784,fear,"One eve , when 1 had gone sportfishing with my admirer , we heard the roar of a panthera leo near by and had to run for our lives ."
16785,fear,"One evening , I when had gone fishing with my friends , we heard roar the of near a and lion by to had for run our lives ."
16786,anger,"I evening , when I had gone sportfishing with my friends , we heard the roar of a king of beasts dear by and had to scarper for our lives ."
16787,anger,"One evening , I had when gone fishing my with , friends we heard roar the of a near lion and by had to run for lives our ."
16788,sadness,"One even , when I had gone fishing with my friends , we heard the hollo of a leo near by and had to run for our lives ."
16789,sadness,"One evening , when had gone I with fishing my friends , we the heard of roar a lion near and by to had for run our lives ."
16790,disgust,A class - mate answer ( accidentally ) the call option of nature in the class during a tough mathematics interrogatory .
16791,disgust,A class answered - mate ( accidentally ) call the of in nature the during class a mathematics tough examination .
16792,shame,I was double crossing my fiancee and peerless day she captivate me red handed . She forgive pine tree state afterward . Unity was rattling ashamed of what I had do .
16793,shame,I double was my crossing fiancee and one she day caught me handed red She . forgave me later . I was very ashamed of had what I done .
16794,guilt,"Iodin took some money from my parent ' s theatre without take them for it , and I be caught red handed ."
16795,guilt,"Took I money some from my parent ' s without house them asking for it , and was I red caught handed ."
16796,joy,I was really well chosen when I get a line that Ace had passed my first year scrutiny and was among the thirty bookman who would major in economics .
16797,joy,Was I very when happy I discovered that I my had passed first year and examination among was the thirty who students would major in . economics
16798,fear,1 was draw near my exam time and my koran got stolen . I be in a panic as Ane thought that I would not do well enough to be considered for the economics quota . Ane cried a lot but that make out not help and as the exam day derive near a strange fear gripped maine .
16799,fear,I was approaching my exam time my and got stolen books . I in was a as panic I thought that I would not do well enough to be considered the for economics quota . I cried a lot but that did not help as and the exam came day near strange fear a gripped me .
16800,anger,"I was rile this particular day as it seemad that the betting odds were not in my favour . My grandfather add fuel to the fire , when I have an important appointment so Unity unleashed my anger on him ."
16801,anger,"Annoyed I was this particular as day seemad it that the odds were not my in favour . My grandfather fuel added to the fire , when had I important an appointment so I unleashed my on him anger ."
16802,sadness,"It was the time Ane go home for my holidays only to find that my sis had passed off . The news have been hidden from me , so that Atomic number 53 could direct my exams ."
16803,sadness,"It was the time I went for home my holidays to only my find that sister had away passed . The had news been hidden from me , so that take I could my exams ."
16804,disgust,"It was the meter Single run home for my holidays only to find that my sister had passed away . The word had cost enshroud from me , so that 1 could take my exams ."
16805,disgust,"It was time the went I home for holidays my only to that find my sister had passed away . news The had been hidden from me , so that could I exams take my ."
16806,shame,"I was caught stealing nutrient at my aunt ' s place . I cause judge to hide the intellectual nourishment One get taken from the larder while my aunt was in the kitchen , however she went to the pantry and discovered the stolen package ."
16807,shame,"I was caught food stealing at my ' aunt s place . I had to tried hide the I food taken had the from pantry while my aunt was the in kitchen , however she to went the pantry discovered and the stolen . package"
16808,guilt,Dad had just married his second wife ( my step - mother ) and I did not like her so I work to the press and set fire to her dress . Eveyone suspect my brother and he had to bear the consequences . Nobody ever receive to know that it was me who had done it .
16809,guilt,Dad had just married his second wife my ( step - mother ) and I not did like her so I to went the wardrobe and set fire her to . dresses Eveyone my suspected and brother he to had bear consequences the . Nobody ever got to know that it was me who done had it .
16810,joy,Dad had just splice his second wife ( my step - mother ) and I did not like her so I go to the wardrobe and set fire to her dresses . Eveyone suspected my brother and helium had to stomach the upshot . Nobody ever got to know that information technology was me who had dress it .
16811,joy,Dad had just married his second ( wife my step mother - ) and I did not like so her I went to the wardrobe and set fire her to . dresses my Eveyone suspected brother and had he to the bear consequences . Nobody ever got to know that was it me who had done it .
16812,fear,Pop had just splice his second married woman ( my step - mother ) and I did not like her so I went to the wardrobe and set fire to her dresses . Eveyone suspect my brother and he had to acquit the import . Nobody ever got to know that it was me who make arrange it .
16813,fear,Dad just had married his second wife ( my step mother - ) I and did not like her I went so the wardrobe to and set fire to her dresses . Eveyone suspected my brother and he had to bear the . consequences Nobody ever got know to that it me was who had done it .
16814,anger,"When a friend say me that my breeding had nothing to serve with our discussion . This booster has failed the 7th form , what made me angry was that I had non used my education department to contend ."
16815,anger,"A when friend told that me my education nothing had to do our with discussion . This friend has failed the grade 7th , what made angry me that was I had not my used education to argue ."
16816,sadness,"When a acquaintance told maine that my education department had nothing to coif with our give and take . This friend has failed the 7th level , what get maine furious was that I had not used my education to argue ."
16817,sadness,"When a friend me told that my education had nothing do to our with discussion . This has friend failed the grade 7th , what made me angry that was I had not education my used to . argue"
16818,disgust,I follow disgusted at the university want some of us to travel from our homes to the lectures here every daylight . The elbow room the whole matter be handled gross out me .
16819,disgust,I disgusted was at the university some wanting us of to from travel our homes to the lectures here day every . The the way whole thing was handled me disgusted .
16820,shame,"When I represent leaving home I determine to leave without saying good - good day to my young comrade . My brother saw maine and said , "" Will you not say unspoilt - bye to pine tree state ? "" He is only 31 / 2 years old ."
16821,shame,"When I was home leaving I decided to leave without saying good - bye to my young brother My . brother me saw and said , "" Will not you say good - bye me to ? "" is He only / 31 2 years . old"
16822,guilt,When I cheated my father about the holy writ leeway at university . Helium discovered that we were give K150 per year for book .
16823,guilt,I when cheated my about father the allowance book at . university discovered He that were we given K150 year per for books .
16824,joy,Ane experience pleasure when Atomic number 53 got the results - I had made it to the second year .
16825,joy,When I experienced joy got I the results - I had made it to the year second .
16826,fear,"When I was go home , I saw somathing which looked comparable a snake on the road simply later on One found kayoed that it was only a joystick ."
16827,fear,"When I was going home , I saw somathing which looked a like on snake the road but later I found out that it was a stick only ."
16828,anger,"This happened recently , I be in the din hall and 1 of my quaker with whom I was eating called pine tree state a fool ."
16829,anger,"This happened recently , I in was the hall dining one and my of friends with whom I was eating called a me fool ."
16830,sadness,Ace experienced this when my maternal nan take place away . She was the last of my rattling parents to pass away .
16831,sadness,I experienced this when my maternal passed grandmother away . was She the of last grand my to parents away pass .
16832,disgust,"This take place when One could not get into the school I birth initially want , and ended up doing something I have never thought I would do ."
16833,disgust,"This happened when I not could into get the school I initially had wanted , up and ended something doing I had never thought do I would ."
16834,shame,I insulted the girl to whom Atomic number 53 had proposed when she turned maine down .
16835,shame,I the to insulted girl whom had I proposed when she turned me down .
16836,guilt,"My mother make broadcast me to corrupt a few things . The change Iodin brought back be non right as 1 make given away some money to a friend thinking that she would not notice it . However , my female parent told me that the change was not correct ."
16837,guilt,"My had mother sent me to buy a things few . The I change brought back was not as right I had given away money some to a thinking friend that she would notice not it . , However my mother told me that change the was correct not ."
16838,joy,"My mother had sent me to bribe a few things . The change One fetch back was not right as I had founder away some money to a supporter thinking that she would not notice it . However , my mother told pine tree state that the modification was not right ."
16839,joy,"My mother sent had to me buy a few The things . change I brought back was not right as I had given some away money to a thinking friend that she would not notice it . However , my mother me told the that was change correct not ."
16840,fear,1 was walking done a thick timber and in that location was a big snake at a length of about four metres .
16841,fear,Was I walking through a forest thick and there big was a snake a at distance of about four . metres
16842,anger,When my girl lead off staying off from classes - at the years of nine only .
16843,anger,My when daughter began away staying classes from - at the of age nine only .
16844,sadness,"When my wife conk in infirmary , she be pregnant and had undergone an operation ."
16845,sadness,"When wife my died hospital in , she pregnant was and undergone had an operation ."
16846,disgust,When my best booster started getting involved in my secret affair .
16847,disgust,When my best friend getting started involved in my private affairs .
16848,shame,I was really intoxicated at a sure wedding party and I scram involved in a fight .
16849,shame,I was very at drunk certain a party wedding I and got in involved a fight .
16850,guilt,I station a password to my boss through my servant telling him that I would not report for work as I live not feeling considerably and that the medico had turn down to give me sick leave . My intention constitute actually to go out of Lusaka for a week - terminal . I left the same day and the following morning my knob found me in Mongu . I felt guilty when asked to explain things on my return .
16851,guilt,Send I a word to my boss through servant my telling him that I would report not for work as I was not feeling and well that the doctor had refused to give me sick leave . My intention was actually to go out of Lusaka for a week - . end I left the same day and the following morning my found boss me in . Mongu I felt guilty when asked to explain things my on return .
16852,joy,I send a word to my party boss through my servant recite him that I would not report for work as I comprise not feeling well and that the doctor had refused to give me brainsick leave . My purpose constitute actually to go out of Lusaka for a week - end . I left the same twenty four hour period and the following morning my boss found me in Mongu . Iodine felt guilty when asked to explain things on my takings .
16853,joy,I send a word my to boss through my servant telling that him I would not report for work as I not was feeling well and that the had doctor refused to give me leave sick . My intention was to actually go out of Lusaka for a week - end . I the left same and day the following morning my boss found me in Mongu . I guilty felt when asked to explain things on return my .
16854,fear,We were driving at night and Single realise that a car be following us .
16855,fear,Were we at driving night and I that a realized car was following us .
16856,anger,We were drive at night and I recognize that a machine was following u .
16857,anger,We driving at were night and I realized that a was following car us .
16858,sadness,"Ane assure a dead child which was not covered , it had been knock down by a car ."
16859,sadness,"I saw a child which dead was covered not , had it been knocked down by car a ."
16860,disgust,"I saw a dead child which equal not covered , it have embody strike hard down by a car ."
16861,disgust,"Saw I a dead child which was not covered , had it been knocked down a by car ."
16862,shame,"I saw a utter child which was not cover , information technology had been knocked blue by a car ."
16863,shame,"I a saw dead child which was not covered , had it been knocked by down a car ."
16864,guilt,One accused my husband of comprise late deliberately when atomic number 2 came to peck me up from work .
16865,guilt,I accused husband my of being deliberately late when he came pick to me from up . work
16866,joy,When I was charge by the Ministry of health to join the teaching faculty of one of the aesculapian colleges .
16867,joy,I when appointed was the by of Ministry health to teaching join the staff of one of the medical colleges .
16868,fear,"When I take blood from a patient for alcoholic beverage estimation and urine for some other interrogatory , he told pine tree state that something forged would happen to maine as he would play trick on me ."
16869,fear,"When I took blood from patient a for alcohol and estimation urine for other examination some , told he me something that happen bad would me to as he play would magic on me ."
16870,anger,When the dean of UNZA asked pine tree state to vacate a big flat I was concern and require up a smaller one as I exist go a total time scholar at UNZA .
16871,anger,When the dean of UNZA asked to vacate me big flat a I was occupying and take up a smaller one I as was becoming a full student time at . UNZA
16872,sadness,When my faithful admirer be involve in an accident and authorise away instantly . He had gone to buy a new car and had asked me to wait at his home so that Single could see his new car .
16873,sadness,When friend my close was involved in an accident and passed away instantly He . gone had to buy a car new had and asked to me his wait at home that so I could see his new car .
16874,disgust,When I was told that the brother who was stay with pine tree state would not travel to the grooming school that year but merely the year after .
16875,disgust,When was I told the that brother who staying was with would me to not go the training school year that but only year the after .
16876,shame,"A patient role , to whom I had given a brawny medicine , shouted at me in nominal head of many people . I clear that he do so because he was really inauspicious ."
16877,shame,"A patient , whom to had I given a powerful , medicine at shouted in me many front of people . I realized that he so did because he was very . ill"
16878,guilt,When I broke upwards my relationship with my former lady friend as she would ask maine irrelevant quetions about my past .
16879,guilt,When I up broke relationship my with my former girlfriend as she would me ask irrelevant quetions about past my .
16880,joy,When Atomic number 53 broke up my human relationship with my former girl as she would ask pine tree state irrelevant quetions about my past .
16881,joy,When broke I my up with relationship former my girlfriend as she would ask me quetions irrelevant my about past .
16882,fear,"I was sleeping when 1 heard the neighbour screaming , 1 peep through with the window and understand a stealer trying to enter my neighbour ' s house ."
16883,fear,"I was when sleeping I heard the neighbours , screaming I peeped the through window and a saw thief trying to enter neighbour my ' s . house"
16884,anger,"Ace was annoyed when a mortal higher up ask pine tree state wherefore a particular job was not get along , it was non my job to do it ."
16885,anger,"Was I annoyed when a person higher up me asked why a particular was job done not , it not was my job do to it ."
16886,sadness,"My pal get along to tell me about some problems we had in the family . I felt pitiful because I thought that if my mother had not gone aside when this buddy be youthful , things would have personify unlike ."
16887,sadness,"My brother to came tell about me some problems we in had family the . I felt sad because I that thought if my mother had not away gone this when was brother younger , would have things been different ."
16888,disgust,"I was in a train when a womanhood take off let the cat out of the bag loudly and pull in everybody ' s attention . The worst matter represent that she was hash out something , astir which she knew zero , with another person ."
16889,disgust,"I was in a train when woman a started talking and loudly everybody attracting ' s attention . The worst thing was that she was discussing , about something she which nothing knew with , another person ."
16890,shame,After a jogging session I had severe abdominal cramp and this pencil lead to my wanting to empty my vesica . My friends gathered around me and two of them had to help me to the toilet . I was ashamed at have to go to the toilet in the presence of my friends .
16891,shame,After a jogging session I had cramps severe and abdominal this lead to my wanting empty to my bladder . My friends gathered around me and two of them had to help me to the . toilet I at was ashamed go having to to toilet the in the presence of my friends .
16892,guilt,"A certain char had asked me to make something for her and I kept putting it off . When Atomic number 53 finally made it , I did not see her for days only to be told one day that she had collapsed and give up the ghost . Unity felt quite guilty as she had jokingly said that I might not do what she take requested me to do ."
16893,guilt,"A certain woman asked had to me something make for her and I kept putting off it . When I finally made , it I did not see her for days only be to told one day that she had collapsed and died . I quite felt as guilty she had said jokingly that might I not do what she had requested me to do ."
16894,joy,When One was accepted for my third yr ( G - 10 ) at my former junior grade shoal .
16895,joy,When was I accepted for third my year ( - G 10 ) my former at secondary school .
16896,fear,I have go for a medical check - upward at the Uranium . Triiodothyronine . H and failed to make information technology back on time for the C119 practical sessions at 1400 hours last pedantic year .
16897,fear,I had gone a for medical check - up the at U . T . H failed and to it make back time the on for practical C119 sessions at last 1400 hours academic year .
16898,anger,I had gone for a medical check - upward at the U . T . Total heat and failed to progress to information technology back on time for the C119 practical sessions at 1400 hr last donnish yr .
16899,anger,I had gone for a medical check up - at U the . T H . failed and make to it back time on for C119 the practical sessions at 1400 hours last academic . year
16900,sadness,I had gone for a medical check - up at the Uranium . T . H and fail to cook it back on time for the C119 virtual sessions at 1400 time of day final academic year .
16901,sadness,I had for gone a check medical - up at the U . H T . and failed to make it back on time for C119 the sessions at practical 1400 hours year academic last .
16902,disgust,When I failed to plug utilization after my form 5 in Lusaka despite my excellent certificate .
16903,disgust,When failed to I secure employment my after form 5 in Lusaka my excellent despite certificate .
16904,shame,When I failed my grade 7 exam at the foremost attempt in 1975 . My fatherhood and the entire family thought that Atomic number 53 was wind up in life history . I truly felt like concealing .
16905,shame,When failed I grade my 7 exam at the attempt in first . 1975 My father and entire family the thought that I was finished in . I life felt really like hiding .
16906,guilt,When I beat up a first year student at my lower ranking schooling in my capacity as the deputy head son . Atomic number 2 had woken up latterly in the morning for manual work .
16907,guilt,When I up beat a first student year at my secondary in school my as capacity the deputy head boy . He had woken up late the in morning for manual work .
16908,joy,When Single heard that someone world health organization follow rattling close to maine did really advantageously in the exams despite having fooled around a lot .
16909,joy,When heard I that someone is who very close to me did very well the exams in having despite fooled around a lot .
16910,fear,When a drunkard barge into a room where my friend and I own run in order to get by from him . We were all alone and all I could see be this deal derive towards maine .
16911,fear,A when drunkard barged into a room my where friend and had I in run order to get away him from . were We all and alone I all could see was this hand coming towards me .
16912,anger,When a friend and pine tree state played a joke on our boyfriends . Her young man came up and accused maine of having planned the unscathed thing and said that Ace did not deserve my boyfriend . He embarassed me in forepart of a crowd .
16913,anger,When friend a and me played a our joke on boyfriends . Her boyfriend came up and accused of having me planned the whole thing said that and I did not deserve my boyfriend . He embarassed me in front a of crowd .
16914,sadness,When my family and 1 find out of the death of my grandfather . We had seen him a few weeks earlier and it appear that he had just been wait to see us .
16915,sadness,When my family and heard I of the of death my grandfather We . seen had a him weeks few earlier and seemed it that had he just waiting been to see . us
16916,disgust,When a boy put a handful of cooked potatoes downhearted my attire and at that place was no h2o to houseclean up .
16917,disgust,A when boy put a handful of cooked potatoes down my there dress and no was water up to clean .
16918,shame,When a soppy poem that I had written to a boy exist get hold and every one read it and start teasing me astir information technology .
16919,shame,When a soppy poem that had written a I to boy was found and every one read it and started teasing me it about .
16920,guilt,When my boyfriend expect me to pass away out with him and I reject because I need to go out with another guy . I do go out and my young man find out .
16921,guilt,When my boyfriend me asked to go out with and I him refused because I to wanted go with out another guy did . I out and go my boyfriend found out .
16922,joy,"After a foresighted time ( of no communication with him , physical illness and concern ) my lover come up to see me , when 1 least expected to visualise him ."
16923,joy,"After a long time ( no of communication with , him illness physical and worry ) my lover came to me see when , I expected least to him see ."
16924,fear,Birds had made nests in our thatched roof and they be flying and flapping their wings in the bedroom at night . Information technology was rattling dark and I could not even see my nose . I did non know that it was the birds till my mother told me so .
16925,fear,Had birds made nests our in thatched roof and they flying were and flapping wings the their in bedroom at night . It was very dark and I could not even see my nose did . I not know that it was birds the till mother my told me so .
16926,anger,The juniors in our dormitory at school start out to complain and ready a fortune of noise about the duties assign to them by the prefect who was my course - mate and be real cool and dull .
16927,anger,The juniors in dormitory our at school started to complain and make lot a of noise the duties about assigned to by them the who prefect was my class - mate and very was cool dull and .
16928,sadness,My elder sister scolded maine in front of my younger sis and cousins . She enounce that I was real lazy and Iodine felt indeed sad that One cried myself to sleep .
16929,sadness,Elder my sister scolded me in of front my younger sisters and cousins . She said that was I lazy very I and so felt sad I that cried myself to sleep .
16930,disgust,"On Christmas day a drunk serviceman came to our business firm without a shirt on , he dansed , talk nonsense and behave doltishly ."
16931,disgust,"Christmas on day a man drunk came to house our without shirt a , on dansed he , nonsense spoke and behaved stupidly ."
16932,shame,"On Christmas clarence day a drunk human came to our sign of the zodiac without a shirt on , he dansed , spoke nonsense and carry stupidly ."
16933,shame,"On day drunk Christmas a man came to our house without a shirt on , he , dansed spoke and nonsense behaved stupidly ."
16934,guilt,"My babe sister was two - 3 months old and when I personify try out to get her on my back , she slipped and fell ."
16935,guilt,"Baby my was 2 sister - 3 months and old I when was trying to get on her my back , she slipped fell and ."
16936,joy,My son was registered to mystify admission in grade one of the primary school . The luck of him aim a place there was 1 / 10 . Two weeks by and by Iodine represent inform that helium have been enrolled .
16937,joy,Son my registered was to get admission in grade one of the primary school . The chances of him getting place a there 10 was 1 / . weeks later Two was I that informed he had been enrolled .
16938,fear,"When Ane came back from work one day , the friends of my son told me that helium have not follow back from school and that helium be lost ."
16939,fear,"When I came from back one work , day friends the of son my told me he that had not come back from school and that he was . lost"
16940,anger,My room - ilex paraguariensis locked up our room without peg down where I would find the keys . I had to spend respective hours in my other admirer ' s elbow room .
16941,anger,My room - locked mate our up without room specifying where I would find the keys I . had to several spend in hours other my friend s ' . room
16942,sadness,"I lost my gramps whom I loved very much . I get not known that atomic number 2 had been ill for a identical time , when I obtain this substance helium was already dead ."
16943,sadness,"I lost my whom grandfather I loved much very . I not known had that he had been ill a for very time , when I received this message he already was dead ."
16944,disgust,"The teacher of one course gave me 10 dubiousness with sub - questions going from a to e for each question . She postulate maine to do all this in unitary and a half hours . It involved a set of describing and explaining and even though I bed all the answers , I could not finish the work ."
16945,disgust,"The of teacher one gave course me 10 questions with sub - questions going from a to e for each question . She asked to me all do this in and one half a hours . It involved a lot of describing and and explaining I even though knew all answers the , I could not finish the work ."
16946,shame,I forgot that the track instructor bear lead us to go for special classes after the usual class hours . I missed this the first day and when he asked me about it the next clarence shepard day jr. I said that Ace had forgotten .
16947,shame,I forgot that the instructor course had us directed to go for classes special after the class usual hours . I this missed the first and day when asked he me it about next the I day said that I had forgotten .
16948,guilt,I was to inform the neighbour on my left that a robber had be spotted the like evening near the star sign of the neighbor in front . I did not do it and the like day the thieves break away into this neighbor ' s house .
16949,guilt,Was to I inform the neighbour on my left that a robber had been spotted the same evening near the house of neighbour the in front . did I not it do and same the day thieves the broke into this neighbour ' s . house
16950,joy,I comprise to inform the neighbor on my left that a robber sustain been spotted the like evening near the house of the neighbour in battlefront . I did not do it and the same clarence shepard day jr. the thieves broke into this neighbour ' s house .
16951,joy,I was to inform the neighbour on my left that robber a been had spotted the evening same near the house of neighbour the in front I did . not it do same and the the day thieves broke into this neighbour ' s house .
16952,fear,I make up to inform the neighbour on my left that a robber had cost spotted the same evening near the house of the neighbour in front line . Iodin exercise non practise it and the same day the thieves broke into this neighbour ' s business firm .
16953,fear,Was I to the neighbour my inform on left that a robber had been spotted same the evening near the of house the neighbour in front . I did not do it and the same the day broke thieves into neighbour this ' s house .
16954,anger,I was bad beaten up by one of my friends during a wedding party .
16955,anger,Was I beaten badly up by of one friends my during a wedding party .
16956,sadness,I was gravely beaten up by one of my friends during a wed party .
16957,sadness,I was beaten badly by up of one my friends a during wedding party .
16958,disgust,I follow disappointed by a girlfriend when I visited her at her home in Woodlands .
16959,disgust,I was disappointed by girlfriend a when I her at visited her in home Woodlands .
16960,shame,I embody ashamed at being the only unity to have got a Coke + in ED120 duty assignment .
16961,shame,Was ashamed I being at the one only to have got a C + ED120 in assignment .
16962,guilt,Atomic number 53 be caught stealing a boxful of match in the supermarket and had to plead guilty .
16963,guilt,Was I caught stealing box a of matches the in and supermarket had to guilty plead .
16964,joy,I personify catch stealing a box of matches in the supermarket and have to plead guilty .
16965,joy,I was caught stealing a matches box of in the supermarket and had to guilty plead .
16966,fear,When I foremost came to the UNZA I do not hump the kind of people I would find here and the kind of behaviour they would have towards me .
16967,fear,I when first to came the I UNZA did not know the kind of people I would here find the and kind of behaviour they would have towards me .
16968,anger,I have gone home plate for a week - end and when I come back I detect that my clothes and my bed clothing had embody stolen .
16969,anger,Had I home gone for a week end - and I when came back I found that my clothes and bedding my had been stolen .
16970,sadness,I cause go home for a week - end and when I came back I find out that my clothes and my bedding get been steal .
16971,sadness,I gone had for home week a - end and came when I back I found that my clothes and bedding my had been . stolen
16972,disgust,Someone stole a K10 note and the instructor thought that information technology was me when Iodin was not responsible for for the thievery .
16973,disgust,Someone stole K10 a and note the teacher that thought was it me was when I not responsible for the theft .
16974,shame,Someone stole a K10 promissory note and the teacher imagine that it was pine tree state when I be not responsible for the larceny .
16975,shame,Stole someone a K10 note teacher and the thought that it me was I when was not for responsible the theft .
16976,guilt,"Unmatchable day my mother travel to inspect her champion . When she came backward she lambast me for non having kept the sign of the zodiac in order , so I decided not to blab out to her ."
16977,guilt,"One day my went mother to visit her . friends she When came back she me for scolded having not kept the house in order so , I not decided talk to her to ."
16978,joy,"One and only twenty four hour period my female parent go to visit her friends . When she came back she dress down me for not get kept the house in fiat , so I settle not to verbalise to her ."
16979,joy,"Day one my mother went to her visit friends When . she back came she scolded me for not the having kept house order in , so I not to decided talk to . her"
16980,fear,When my little baby was sick at dwelling and I think that she would conk .
16981,fear,When my little sister was at sick home and thought I that would she . die
16982,anger,When I discover out that my sis had been playing with my confidential thing which she had taken from my hand - traveling bag .
16983,anger,When I out found that my sister had been playing my with which she confidential things taken had from my hand - bag .
16984,sadness,When one of my best ally commited siucide during these holidays .
16985,sadness,When one of my best commited friends siucide during these holidays .
16986,disgust,I make up disgusted at the number of second class scholarly person who are significant illegitimately .
16987,disgust,Disgusted I am at the number second of year students are who pregnant illegitimately .
16988,shame,I am disgusted at the numeral of second yr students world health organization are significant illegitimately .
16989,shame,Disgusted I am at the number of second year students who illegitimately are pregnant .
16990,guilt,When my aunty went out of her way to help me knocked out with my fiscal problems .
16991,guilt,When my aunt went out of her way to me help with out financial my problems .
16992,joy,"When I fell in love with "" X "" . Overnight I felt assurance , ego - respect , responsible for and worthwhile ."
16993,joy,"I when fell love with in "" X "" . I Overnight felt , confidence self - , esteem responsible and worthwhile ."
16994,fear,"When I fall in love with "" Decade "" . Overnight Iodin feel confidence , self - esteem , responsible and worthwhile ."
16995,fear,"When I fell in with love "" "" X . Overnight I felt , confidence self - esteem , responsible and . worthwhile"
16996,anger,"When my room - mate lock in me out deliberately , before an exam due at 1400 hour ."
16997,anger,"My when room - locked mate me out deliberately an , exam before due at 1400 hours ."
